student_id,"Subscription Type","Subscription Type Res",max(purchase_date),created_at,price,price
243677,monthly,annual,"2021-11-18 14:07:24","2021-11-24 15:07:14",36,87.91
246879,monthly,annual,"2021-11-18 21:45:31","2022-09-20 15:16:19",36,99
247871,monthly,annual,"2021-11-15 05:47:59","2021-11-22 15:04:25",39.63,98.26
249410,monthly,annual,"2021-11-16 20:08:34","2021-11-23 18:02:53",38.57,95.11
255534,monthly,annual,"2022-01-06 08:52:36","2022-02-17 07:29:09",36,99
256393,monthly,annual,"2022-09-09 08:06:52","2022-09-19 17:33:15",30.6,125.14
256570,monthly,annual,"2022-07-21 08:52:04","2022-07-22 07:21:05",39.3,132.94
257330,monthly,annual,"2021-12-20 17:16:31","2022-01-17 17:04:10",36,134.99
257521,monthly,annual,"2021-12-19 21:51:35","2021-12-28 15:52:10",39.31,168.54
258373,monthly,annual,"2022-02-28 10:30:04","2022-03-29 01:55:42",41.4,149.99
258386,monthly,annual,"2021-12-29 13:24:55","2022-01-19 15:37:38",44.09,155.29
258782,monthly,annual,"2022-02-27 08:02:46","2022-03-30 17:03:12",44.3,150.08
259283,monthly,annual,"2022-01-09 23:41:09","2022-01-24 09:25:05",40.2,165.06
259504,monthly,annual,"2022-01-09 11:06:20","2022-03-27 12:28:19",43.86,150.05
259777,monthly,annual,"2022-01-09 16:43:11","2022-02-09 08:32:47",29.7,142.58
259860,monthly,annual,"2022-05-10 08:17:03","2022-05-29 14:15:05",27,131.72
260356,monthly,annual,"2022-02-18 20:19:28","2022-03-29 12:59:28",36,149.99
260646,monthly,annual,"2022-07-16 08:10:16","2022-07-21 13:29:28",45.17,150.88
261668,monthly,annual,"2022-02-09 17:04:58","2022-03-08 15:49:14",36,346.65
261724,monthly,annual,"2022-02-27 08:07:02","2022-03-25 23:47:11",33.78,150.69
262580,monthly,annual,"2022-02-10 16:47:06","2022-03-30 16:34:27",32.13,149.99
262821,monthly,annual,"2022-05-06 08:22:04","2022-05-26 21:14:18",41.51,148.72
30872,monthly,annual,"2022-05-21 14:20:50","2022-05-23 22:02:13",36,116.68
139273,monthly,annual,"2022-07-15 20:22:21","2022-07-26 15:28:58",36,126.53
143785,monthly,annual,"2022-06-27 17:21:00","2022-07-25 17:40:59",36,147.61
155640,monthly,annual,"2022-06-21 10:16:09","2022-07-19 10:04:23",42.63,70.73
171887,monthly,annual,"2022-06-30 19:45:18","2022-07-28 18:32:38",36,147.53
182377,monthly,annual,"2022-04-30 09:49:02","2022-10-19 18:02:45",35.79,99.26
184509,monthly,annual,"2022-08-31 16:52:50","2022-10-19 19:41:54",43.02,118.26
190610,monthly,annual,"2022-09-10 16:21:11","2022-09-23 18:15:59",25.2,135.78
213546,monthly,annual,"2022-07-11 01:21:19","2022-07-25 16:52:50",36,131
258930,monthly,annual,"2022-02-19 15:06:50","2022-03-28 07:30:05",41.4,149.99
259884,monthly,annual,"2022-05-07 14:00:55","2022-05-30 12:48:07",36,140.65
260964,monthly,annual,"2022-03-07 16:53:30","2022-03-30 14:47:02",36,140.45
262270,monthly,annual,"2022-03-19 21:01:00","2022-05-27 16:28:22",36,93.33
263672,monthly,annual,"2022-02-14 19:34:11","2022-02-14 19:43:12",36,312.01
264081,monthly,annual,"2022-02-23 06:50:24","2022-03-22 03:14:38",38.52,148.41
265578,monthly,annual,"2022-03-02 18:23:04","2022-05-06 11:29:03",36,224.3
266395,monthly,annual,"2022-05-03 14:04:55","2022-05-27 06:59:47",43.42,171.11
267114,monthly,annual,"2022-03-13 16:51:39","2022-03-21 17:55:46",36,123.33
267812,monthly,annual,"2022-03-19 20:36:43","2022-03-29 16:12:28",36,125.39
268242,monthly,annual,"2022-09-17 21:01:04","2022-09-20 08:26:09",36,116.96
269130,monthly,annual,"2022-06-16 04:00:41","2022-09-01 20:12:03",27,99
270009,monthly,annual,"2022-05-05 12:01:29","2022-05-31 16:52:16",36,144.42
270103,monthly,annual,"2022-06-11 18:40:53","2022-10-20 19:58:05",36.09,99.22
270188,monthly,annual,"2022-05-22 18:01:06","2022-05-26 15:06:49",36.04,118.83
271326,monthly,annual,"2022-05-20 02:40:34","2022-05-21 14:28:48",36,115.72
271338,monthly,annual,"2022-08-20 21:40:57","2022-09-19 17:35:08",36,148.64
272261,monthly,annual,"2022-05-03 16:31:38","2022-05-31 21:51:37",44.23,180.77
272472,monthly,annual,"2022-04-30 20:33:55","2022-05-20 17:54:48",35.79,138.35
272965,monthly,annual,"2022-05-06 23:54:47","2022-05-31 16:10:20",27,144.49
273671,monthly,annual,"2022-05-12 13:27:47","2022-06-01 05:53:29",44.99,171.29
274836,monthly,annual,"2022-07-26 21:40:44","2022-10-20 15:29:35",25.2,99
275215,monthly,annual,"2022-06-02 23:57:08","2022-10-20 10:58:13",36,99
277864,monthly,annual,"2022-07-19 03:19:40","2022-07-19 03:19:48",36,114.96
277866,monthly,annual,"2022-07-16 07:00:43","2022-07-26 02:16:16",36,125.38
278881,monthly,annual,"2022-07-26 18:49:00","2022-07-27 06:11:02",42.73,141.78
279178,monthly,annual,"2022-09-02 21:40:59","2022-10-21 17:12:00",25.2,99
280552,monthly,annual,"2022-07-06 16:10:07","2022-07-26 23:30:27",26.92,140.29
281413,monthly,lifetime,"2022-07-13 18:51:55","2022-08-13 20:18:19",36,240
282929,monthly,annual,"2022-07-29 01:39:29","2022-07-29 04:30:32",36,114.13
282977,monthly,annual,"2022-08-31 12:20:28","2022-09-24 16:14:19",36.01,143.36
284482,monthly,annual,"2022-09-19 11:00:46","2022-09-19 22:38:44",27,123.42
284492,monthly,annual,"2022-08-09 01:49:12","2022-08-11 21:16:15",35.92,150.98
285322,monthly,annual,"2022-09-18 04:20:42","2022-09-20 02:17:34",36,116.29
287006,monthly,annual,"2022-09-18 21:00:59","2022-10-01 03:10:21",36,152.71
288315,monthly,annual,"2022-08-27 15:48:08","2022-09-24 16:47:54",36,146.55
288923,monthly,annual,"2022-09-03 12:23:32","2022-09-23 18:45:30",27,141.23
289823,monthly,annual,"2022-09-20 19:01:33","2022-10-19 19:45:25",42.98,218.97
289985,monthly,lifetime,"2022-09-10 06:47:28","2022-09-15 05:52:18",36,240.17
1137,annual,lifetime,"2020-04-21 00:00:00","2021-08-06 05:18:51",150.68,264.99
1888,annual,lifetime,"2020-04-16 00:00:00","2021-06-13 02:53:47",139.2,213.25
2091,annual,lifetime,"2020-07-01 00:00:00","2021-04-24 08:15:42",174,200
2698,annual,lifetime,"2020-12-04 00:00:00","2021-06-16 14:19:29",147.55,212
2862,annual,lifetime,"2021-07-29 01:30:44","2021-07-30 10:47:28",174,15
3188,annual,lifetime,"2020-05-15 03:00:00","2021-06-04 11:05:23",184.44,200
10126,annual,lifetime,"2020-04-28 00:00:00","2021-10-05 22:54:34",139.2,244.79
12274,annual,lifetime,"2021-07-09 10:43:17","2021-08-10 07:07:32",182.7,71
16417,annual,lifetime,"2020-06-18 00:00:00","2021-04-22 18:55:53",184.44,213.25
19845,annual,lifetime,"2020-06-11 00:00:00","2021-06-09 21:13:35",184.44,200
20645,annual,lifetime,"2020-04-13 00:00:00","2021-04-02 10:46:30",139.2,261
145569,annual,lifetime,"2021-05-31 04:19:37","2021-06-17 13:58:16",165.19,38.98
145723,annual,lifetime,"2021-02-28 04:03:37","2022-08-28 20:41:11",195.51,240
147884,annual,lifetime,"2021-04-04 05:49:11","2021-05-06 22:17:33",174.1,22.01
150861,annual,lifetime,"2021-04-25 01:59:19","2021-04-27 20:12:35",184.37,16.01
156680,annual,lifetime,"2021-06-02 18:04:49","2022-09-13 12:16:22",176.8,240.01
1543,annual,lifetime,"2021-11-23 04:39:13","2021-12-22 14:59:44",126.97,135.19
171006,annual,lifetime,"2021-09-21 10:04:54","2022-10-27 11:23:19",165.11,240.11
171448,annual,lifetime,"2021-09-27 09:44:01","2022-09-27 13:37:07",187.69,239.38
