original canceled date,resurrected canceled date,original created date,resurrected created date,original end date,resurrected end date,original next charge date,resurrected next charge date,original plan,resurrected plan,student_id,original subscription id,resurrected subscription id,days to resurrection
NULL,NULL,1/28/2021 23:46,10/12/2021 10:38,5/10/2021 0:00,12/16/2021 0:00,5/1/2021 3:00,12/12/2021 0:00,annual,monthly,2167,2061,5680,155
NULL,NULL,1/28/2021 23:44,10/13/2021 6:26,10/11/2021 0:00,10/22/2022 0:00,10/2/2021 3:00,10/13/2022 0:00,annual,annual,3857,1185,5686,2
7/3/2021 0:00,11/16/2021 0:00,6/10/2021 15:58,10/15/2021 1:34,7/10/2021 0:00,12/15/2021 0:00,7/10/2021 0:00,12/15/2021 0:00,monthly,monthly,157202,4628,5702,97
NULL,11/25/2021 0:00,1/28/2021 23:46,10/15/2021 12:07,10/13/2021 0:00,12/15/2021 0:00,10/9/2021 0:00,12/15/2021 0:00,monthly,monthly,6656,3013,5708,2
NULL,5/27/2022 0:00,4/10/2021 18:02,10/26/2021 7:54,7/20/2021 0:00,11/26/2022 0:00,7/10/2021 0:00,11/26/2022 0:00,monthly,annual,3272,4012,5734,98
3/18/2021 0:00,9/7/2022 0:00,3/18/2021 15:39,11/1/2021 22:52,3/22/2021 0:00,11/1/2022 0:00,3/18/2022 0:00,11/1/2022 0:00,annual,annual,147116,3753,5745,224
3/17/2021 0:00,NULL,1/28/2021 23:46,11/22/2021 19:24,4/15/2021 0:00,NULL,4/15/2021 3:00,2/22/2023 0:00,annual,annual,3577,2871,5871,221
7/6/2021 0:00,NULL,4/7/2021 19:31,11/24/2021 1:51,7/7/2021 0:00,NULL,7/7/2021 0:00,11/24/2023 0:00,monthly,annual,2591,3987,5985,140
9/14/2021 0:00,3/2/2022 0:00,7/16/2021 1:25,11/24/2021 2:53,9/16/2021 0:00,3/24/2022 0:00,9/16/2021 0:00,3/24/2022 0:00,monthly,monthly,160562,4838,5990,69
8/8/2021 0:00,8/23/2022 0:00,1/28/2021 23:44,11/24/2021 17:39,9/7/2021 0:00,11/24/2022 0:00,9/7/2021 3:00,11/24/2022 0:00,annual,annual,1928,1462,6041,78
NULL,NULL,1/28/2021 23:44,11/24/2021 17:48,10/10/2021 0:00,NULL,10/1/2021 3:00,11/24/2023 0:00,annual,annual,4054,1217,6042,45
NULL,NULL,1/28/2021 23:46,11/25/2021 19:26,4/26/2021 0:00,12/4/2022 0:00,4/17/2021 3:00,11/25/2022 0:00,annual,annual,1235,2715,6124,213
4/10/2021 0:00,NULL,1/28/2021 23:46,11/25/2021 20:19,4/17/2021 0:00,12/4/2022 0:00,4/17/2021 3:00,11/25/2022 0:00,annual,annual,5749,2712,6127,222
4/9/2021 0:00,11/23/2022 0:00,1/28/2021 23:46,11/25/2021 21:11,4/16/2021 0:00,11/25/2022 0:00,4/16/2021 3:00,11/25/2022 0:00,annual,annual,11793,2766,6129,223
4/12/2021 0:00,12/29/2021 0:00,1/28/2021 23:46,11/26/2021 12:57,4/15/2021 0:00,1/26/2022 0:00,4/15/2021 3:00,1/26/2022 0:00,annual,monthly,1867,2872,6171,225
1/22/2021 2:00,NULL,1/28/2021 23:44,11/26/2021 18:47,2/11/2021 0:00,NULL,2/11/2021 2:00,2/26/2023 0:00,monthly,annual,1221,1443,6207,288
NULL,NULL,7/25/2021 21:28,11/27/2021 6:49,8/16/2021 0:00,NULL,7/25/2022 0:00,2/27/2023 0:00,annual,annual,27787,4969,6268,103
3/22/2021 0:00,1/9/2023 0:00,2/13/2021 8:23,11/27/2021 6:57,4/13/2021 0:00,2/27/2023 0:00,4/13/2021 0:00,2/27/2023 0:00,monthly,annual,12284,3356,6269,228
5/20/2021 0:00,NULL,1/28/2021 23:44,11/27/2021 23:38,5/23/2021 0:00,NULL,5/23/2021 3:00,2/27/2023 0:00,annual,annual,5143,1979,6347,188
